,Power (kW),Power-1 (kW),Temperature (°C),Humidity (%),Solar Radiation (W/m²),Hour of Day,Day of Week
2017-01-02 04:00:00,42.4233045,42.2406385,9.895,86.625,1.507,4,0
2017-01-02 05:00:00,45.7995665,42.4233045,10.0425,84.8,1.5416666666666667,5,0
2017-01-02 06:00:00,52.5118865,45.7995665,10.42,81.575,1.7425833333333334,6,0
2017-01-02 07:00:00,86.1429695,52.5118865,10.256666666666666,82.43333333333334,1.7679166666666666,7,0
2017-01-02 08:00:00,107.1224655,86.1429695,10.105833333333331,80.65833333333333,18.45658333333333,8,0
2017-01-02 09:00:00,119.8500905,107.1224655,10.384166666666667,79.49166666666666,42.23916666666667,9,0
2017-01-02 10:00:00,191.813721,119.8500905,10.936666666666667,77.7,51.625,10,0
2017-01-02 11:00:00,196.6576475,191.813721,11.874166666666667,74.7,40.54833333333333,11,0
2017-01-02 12:00:00,187.0340335,196.6576475,12.63,73.76666666666667,50.6325,12,0
2017-01-02 13:00:00,187.972054,187.0340335,13.6175,70.11833333333333,22.359166666666667,13,0
2017-01-02 14:00:00,198.8369665,187.972054,13.714166666666666,71.26083333333334,16.667083333333334,14,0
2017-01-02 15:00:00,199.73085,198.8369665,13.200833333333334,77.0,33.44916666666666,15,0
2017-01-02 16:00:00,203.6592615,199.73085,13.099166666666669,76.81666666666666,6.418833333333333,16,0
2017-01-02 17:00:00,152.1566265,203.6592615,13.498333333333331,76.89999999999999,3.5980000000000003,17,0
2017-01-02 18:00:00,133.543704,152.1566265,13.875,75.28333333333333,2.6148333333333333,18,0
2017-01-02 19:00:00,99.4386945,133.543704,13.494166666666668,79.64166666666667,3.383,19,0
2017-01-02 20:00:00,82.2925625,99.4386945,13.403333333333334,81.55833333333334,1.75625,20,0
2017-01-02 21:00:00,58.2370235,82.2925625,13.689166666666669,81.84166666666667,1.75825,21,0
2017-01-02 22:00:00,47.1577625,58.2370235,13.789166666666668,83.25833333333334,1.6084166666666668,22,0
2017-01-02 23:00:00,43.1981055,47.1577625,14.146153846153847,84.03846153846153,1.3036923076923077,23,0
2017-01-03 00:00:00,43.569337,43.1981055,14.39,82.93333333333334,2.284666666666667,0,1
2017-01-03 01:00:00,42.3608135,43.569337,14.2275,84.13333333333334,1.9545,1,1
2017-01-03 02:00:00,41.889946,42.3608135,13.52,85.76666666666667,1.8274166666666665,2,1
2017-01-03 03:00:00,42.718935,41.889946,13.185,89.35833333333333,1.8690833333333328,3,1
2017-01-03 04:00:00,42.6116515,42.718935,14.351666666666668,86.69999999999999,1.1053333333333333,4,1
2017-01-03 05:00:00,45.940936,42.6116515,14.8125,84.84166666666667,1.3060833333333333,5,1
2017-01-03 06:00:00,49.3606795,45.940936,14.8925,84.38333333333334,0.9875,6,1
2017-01-03 07:00:00,86.5970125,49.3606795,14.915,84.35833333333333,1.3335833333333331,7,1
2017-01-03 08:00:00,109.1772395,86.5970125,14.969166666666666,84.625,38.596916666666665,8,1
2017-01-03 09:00:00,125.4096045,109.1772395,15.356666666666667,82.45833333333333,94.5275,9,1
2017-01-03 10:00:00,212.5189995,125.4096045,15.551666666666668,81.00833333333334,143.95833333333334,10,1
2017-01-03 11:00:00,192.9990835,212.5189995,15.388333333333334,79.43333333333334,202.845,11,1
2017-01-03 12:00:00,202.6742635,192.9990835,16.289166666666667,73.35833333333333,296.6083333333333,12,1
2017-01-03 13:00:00,203.2768865,202.6742635,16.326666666666664,73.83,238.4416666666667,13,1
2017-01-03 14:00:00,210.4152815,203.2768865,16.334166666666665,73.29166666666667,148.11666666666667,14,1
2017-01-03 15:00:00,204.067638,210.4152815,16.428333333333335,68.73416666666667,219.86666666666667,15,1
2017-01-03 16:00:00,198.071124,204.067638,15.54,73.15916666666666,45.745000000000005,16,1
2017-01-03 17:00:00,153.655318,198.071124,15.3375,76.25,6.886416666666666,17,1
2017-01-03 18:00:00,138.646116,153.655318,15.173333333333334,78.31666666666668,0.8374166666666666,18,1
2017-01-03 19:00:00,101.827118,138.646116,15.05,82.3,0.7753333333333333,19,1
2017-01-03 20:00:00,82.3651045,101.827118,14.9475,82.71666666666667,1.0313333333333332,20,1
2017-01-03 21:00:00,61.1627385,82.3651045,14.949166666666663,82.36666666666666,0.94825,21,1
2017-01-03 22:00:00,52.301034,61.1627385,14.954166666666666,82.18333333333334,0.9435833333333332,22,1
2017-01-03 23:00:00,48.5146475,52.301034,14.6825,83.325,0.76825,23,1
2017-01-04 00:00:00,48.486898,48.5146475,13.965833333333334,85.49166666666667,0.6483333333333333,0,2
2017-01-04 01:00:00,47.967305,48.486898,13.1275,88.78333333333335,0.6114166666666666,1,2
2017-01-04 02:00:00,46.479757,47.967305,12.771666666666668,89.8,0.5167499999999999,2,2
2017-01-04 03:00:00,46.3685405,46.479757,12.066666666666668,90.63333333333333,0.7385833333333333,3,2
2017-01-04 04:00:00,44.5423175,46.3685405,11.721666666666666,91.24166666666667,1.22325,4,2
2017-01-04 05:00:00,49.3222235,44.5423175,11.645,91.45833333333331,1.454,5,2
2017-01-04 06:00:00,53.757118,49.3222235,11.561666666666667,91.63333333333333,2.3286666666666664,6,2
2017-01-04 07:00:00,89.052734,53.757118,11.54,91.76666666666668,3.2910833333333334,7,2
2017-01-04 08:00:00,109.9052815,89.052734,11.348333333333334,91.96666666666664,14.106833333333334,8,2
2017-01-04 09:00:00,126.5930005,109.9052815,11.493333333333332,91.975,73.13250000000001,9,2
2017-01-04 10:00:00,222.585076,126.5930005,11.773333333333332,91.83333333333331,165.38333333333333,10,2
2017-01-04 11:00:00,196.8739625,222.585076,12.2825,91.51666666666668,260.9833333333333,11,2
2017-01-04 12:00:00,200.8982955,196.8739625,13.2125,88.95,286.4166666666667,12,2
2017-01-04 13:00:00,207.1819185,200.8982955,14.205833333333333,82.75833333333334,339.7333333333333,13,2
